step,p_min,p_1pct,p_5pct,p_med,w_med,w_95pct,w_99pct,w_max,ess,ess_ratio,dy_max,dy_mean,dy_std,top1_ratio,grad_norm,is_clipped,act_mean,act_std,na_mean,na_std,na_min,na_max,na_95pct,na_99pct,ra_mean,ra_std,ra_min,ra_max,ra_95pct,ra_99pct
1,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,1024.0,1.0,0.05362526699900627,0.016406767070293427,0.011011110618710518,0.0031918795811111907,0.15697766840457916,0,0.0,0.0,0.02629295364022255,0.9879434704780579,-2.6812634468078613,2.5931358337402344,1.513314962387085,1.9121004343032837,-0.4411555528640747,0.6156064867973328,-2.1282856464385986,1.15829336643219,0.4854363203048706,0.7339271306991577
2,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,1024.0,1.0,0.06741771847009659,0.016637682914733887,0.011398776434361935,0.0039571385048545234,0.0695720836520195,0,0.0,0.0,-0.04321777820587158,1.0078039169311523,-3.3708860874176025,2.2556705474853516,1.466852068901062,1.8995277881622314,-0.4844689965248108,0.6279818415641785,-2.5580027103424072,0.9480122923851013,0.4564843773841858,0.7260928750038147
3,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,1024.0,1.0,0.057580698281526566,0.016682296991348267,0.011339924298226833,0.0033707079243773057,0.05408467352390289,0,0.0,0.0,0.010440314188599586,1.0088624954223633,-2.7610085010528564,2.879034996032715,1.531075358390808,1.969659447669983,-0.4510335922241211,0.6286414861679077,-2.177976369857788,1.336442470550537,0.49650317430496216,0.7697932720184326
4,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,148.0,1.0,0.044265393167734146,0.015731560066342354,0.0111851142719388,0.019012131679500312,0.13205678761005402,0,0.0,0.0,0.04486600682139397,0.9662578105926514,-2.1864914894104004,2.2132697105407715,1.553162693977356,2.128847599029541,-0.4295823574066162,0.6020937561988831,-1.8199838399887085,0.921591579914093,0.5102661848068237,0.8689864873886108
5,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,1024.0,1.0,0.05335060879588127,0.017265208065509796,0.010693913325667381,0.003017641241538633,0.08588211983442307,0,0.0,0.0,-0.004444841295480728,1.0157886743545532,-2.477731943130493,2.6675305366516113,1.4910508394241333,1.9349608421325684,0.21786868572235107,0.6214281320571899,-1.2952120304107666,1.8525007963180542,1.132766842842102,1.4043372869491577
6,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,1024.0,1.0,0.0534139908850193,0.017343590036034584,0.010318928398191929,0.00300757227109699,0.06168515235185623,0,0.0,0.0,-0.012280276045203209,1.00934898853302,-2.6706995964050293,2.51800274848938,1.4554789066314697,1.8409228324890137,0.21307523548603058,0.6174885034561157,-1.4132636785507202,1.7610243558883667,1.1110049486160278,1.3468077182769775
7,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,1024.0,1.0,0.05039065703749657,0.016978472471237183,0.010340041480958462,0.0028983541420787456,0.03234369680285454,0,0.0,0.0,0.0022999541833996773,0.9943147301673889,-2.5195329189300537,2.281728982925415,1.4379762411117554,1.82559335231781,0.22199496626853943,0.6082910895347595,-1.320784568786621,1.6164793968200684,1.100297451019287,1.3374296426773071
8,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,639.0,1.0,0.05816738307476044,0.016430292278528214,0.010305384173989296,0.005540301274308167,0.027521394193172455,0,0.0,0.0,0.023116519674658775,0.9700058102607727,-2.908369302749634,2.6496384143829346,1.3949530124664307,1.8535717725753784,0.23472988605499268,0.59341961145401,-1.5586626529693604,1.8415549993515015,1.0739771127700806,1.3545459508895874
9,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,1024.0,1.0,0.05128735303878784,0.01735086739063263,0.009866987355053425,0.0028866168229134907,0.04638233035802841,0,0.0,0.0,0.009782521985471249,0.9983311891555786,-2.5643677711486816,2.118974208831787,1.509857416152954,1.9097280502319336,-0.11196880042552948,0.6222726106643677,-1.716469645500183,1.2027173042297363,0.8230470418930054,1.0722914934158325
10,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,1024.0,1.0,0.05002002418041229,0.017044981941580772,0.009861129336059093,0.002865810009720297,0.0691729262471199,0,0.0,0.0,-0.03458710014820099,0.9843505024909973,-2.5010013580322266,2.092440366744995,1.4238851070404053,1.7864686250686646,-0.1396249532699585,0.6135582327842712,-1.6769723892211914,1.1861783266067505,0.7694593667984009,0.9954622983932495
11,0.5,0.5,0.5,0.5,2.0,2.0,2.0,2.0,1024.0,1.0,0.04424086958169937,0.017743412405252457,0.009974946267902851,0.002434930396370031,0.05284668505191803,0,0.0,0.0,0.016697145998477936,1.0179935693740845,-2.1637122631073,2.212043523788452,1.533308744430542,1.8833463191986084,-0.10765882581472397,0.6345284581184387,-1.4667359590530396,1.2607284784317017,0.8376645445823669,1.0558475255966187
